iter	Logloss
0	0.6821501094
1	0.6704384962
2	0.659290546
3	0.649506208
4	0.6404129442
5	0.6317503949
6	0.6228830364
7	0.6161713573
8	0.6091848693
9	0.6022898039
10	0.5955111931
11	0.5900500554
12	0.5844216257
13	0.5804207896
14	0.5760322205
15	0.5689863104
16	0.5631852853
17	0.5594857702
18	0.5553707624
19	0.5514902797
20	0.5472669371
21	0.5418384854
22	0.5383414967
23	0.5352608728
24	0.5316907144
25	0.5284664868
26	0.5251024717
27	0.5219451799
28	0.5193389657
29	0.5161629117
30	0.5134769399
31	0.5108356508
32	0.5087346387
33	0.5057296067
34	0.5035783784
35	0.5007541615
36	0.4992925927
37	0.4966605759
38	0.4946104469
39	0.4927498053
40	0.4899940416
41	0.4886112694
42	0.4860437095
43	0.4842322496
44	0.4824908932
45	0.4808739481
46	0.4795699663
47	0.4777499878
48	0.4762367234
49	0.4749096643
50	0.4733797253
51	0.4720348601
52	0.4707547768
53	0.4692376671
54	0.4675154643
55	0.4654073158
56	0.4642190456
57	0.4627815717
58	0.4614055699
59	0.4604406141
60	0.4591870041
61	0.4583022329
62	0.4572889388
63	0.4562167748
64	0.4550319569
65	0.4538481621
66	0.4532009545
67	0.4520687565
68	0.4506973892
69	0.4498797135
70	0.4491347061
71	0.4481792459
72	0.4472323584
73	0.4461723703
74	0.4453781327
75	0.4445222649
76	0.4437711143
77	0.4431154045
78	0.4424569979
79	0.4420652414
80	0.4413160054
81	0.4407907852
82	0.4401747635
83	0.4396383737
84	0.4390287464
85	0.4383412137
86	0.4373091257
87	0.4366604993
88	0.4362214921
89	0.4355510209
90	0.4348659707
91	0.4341214766
92	0.4333647781
93	0.4328983947
94	0.4323008765
95	0.4314176439
96	0.4308281373
97	0.4301945515
98	0.4296376903
99	0.4289920917
100	0.4282306208
101	0.4276304831
102	0.4270800715
103	0.4266141467
104	0.4260226859
105	0.4256940592
106	0.4255659939
107	0.4250733812
108	0.4243539355
109	0.4241116729
110	0.4234984133
111	0.4234400879
112	0.4227775009
113	0.4220636092
114	0.4215370626
115	0.4211506134
116	0.4206994977
117	0.420167223
118	0.4194954025
119	0.4190578664
120	0.4187385461
121	0.4184421667
122	0.4181433761
123	0.4176305058
124	0.4171939545
125	0.4167593049
126	0.4164912618
127	0.4160767915
128	0.415784959
129	0.4153172616
130	0.4149786558
131	0.4146234305
132	0.4141659276
133	0.4139570403
134	0.4136848671
135	0.4133256013
136	0.4130138739
137	0.4126977737
138	0.4124888471
139	0.4120979715
140	0.4119583241
141	0.4116729368
142	0.4114029629
143	0.4110496181
144	0.4107429562
145	0.4105501557
146	0.4101707939
147	0.4099033434
148	0.4095863976
149	0.4091486193
150	0.4088666385
151	0.4085675651
152	0.4082681988
153	0.4080456568
154	0.4075862697
155	0.4073680695
156	0.407030599
157	0.4067513394
158	0.4064471808
159	0.406029016
160	0.4058261114
161	0.4055970881
162	0.4051655866
163	0.4049203764
164	0.4046607016
165	0.4044018602
166	0.4042775176
167	0.4039934564
168	0.4037791708
169	0.4035282286
170	0.4031280343
171	0.4029815804
172	0.4026245672
173	0.4021888122
174	0.4019571635
175	0.4017722822
176	0.4015355123
177	0.4013296534
178	0.4010823824
179	0.4008807526
180	0.4007322152
181	0.4002685898
182	0.4000703659
183	0.3998372969
184	0.3995969354
185	0.399333042
186	0.3991749506
187	0.398884702
188	0.3986478406
189	0.3985048283
190	0.3983703028
191	0.3979788348
192	0.3978408866
193	0.3976988019
194	0.3974773705
195	0.3971684919
196	0.3970225599
197	0.396854962
198	0.3966888073
199	0.3964996234
200	0.3962659613
201	0.3960603292
202	0.3957296734
203	0.3953301117
204	0.3951202967
205	0.3948939768
206	0.3947192624
207	0.3945710126
208	0.3943845338
209	0.3942728373
210	0.3940882896
211	0.3939491776
212	0.3938031771
213	0.3936525457
214	0.3935366776
215	0.3933702746
216	0.3932446399
217	0.3929885043
218	0.3927900354
219	0.3926905616
220	0.3925261232
221	0.3923316925
222	0.3921329656
223	0.3918441349
224	0.3917323871
225	0.391623833
226	0.3913550063
227	0.3912625444
228	0.3911132541
229	0.390988605
230	0.3908180062
231	0.3906241786
232	0.3904153832
233	0.3902332284
234	0.3900157562
235	0.3898099256
236	0.3896834465
237	0.3895691156
238	0.3893777365
239	0.3892670197
240	0.3891723848
241	0.3890503994
242	0.3888977336
243	0.3886366116
244	0.3884950221
245	0.3883218174
246	0.3883167544
247	0.3880642073
248	0.3878941706
249	0.3877856114
250	0.3876707881
251	0.3875324209
252	0.3873646184
253	0.3871876967
254	0.3870523013
255	0.3869462515
256	0.386754714
257	0.3865745324
258	0.3864657214
259	0.3863896286
260	0.3862994806
261	0.3861139989
262	0.3859745372
263	0.3858566775
264	0.385674974
265	0.3855759873
266	0.385482786
267	0.3853261328
268	0.3850928788
269	0.3848916354
270	0.3847986429
271	0.3846368851
272	0.3844944508
273	0.3843858305
274	0.3842833674
275	0.3841684346
276	0.3839912019
277	0.3838281754
278	0.3836426781
279	0.3834104291
280	0.3833062852
281	0.3832212977
282	0.3831400332
283	0.3829200922
284	0.3827245836
285	0.3825519146
286	0.3823035646
287	0.382092034
288	0.381978798
289	0.3818083521
290	0.3816463268
291	0.3815724815
292	0.3814268453
293	0.3812408466
294	0.3811042077
295	0.3808973736
296	0.3808010042
297	0.3805876271
298	0.3804400227
299	0.3803524971
300	0.3802166895
301	0.3801126131
302	0.3800516989
303	0.379942973
304	0.3798341167
305	0.3796983753
306	0.3796122016
307	0.3794445751
308	0.3793139884
309	0.3792050667
310	0.3790228094
311	0.3788769311
312	0.3786972897
313	0.3785225347
314	0.3783785965
315	0.3782831624
316	0.3781960451
317	0.3780552334
318	0.3779645692
319	0.3778301301
320	0.3776654767
321	0.3775636741
322	0.3774108802
323	0.3773568374
324	0.3772520051
325	0.377076775
326	0.3770003157
327	0.3769051175
328	0.3767812608
329	0.3765945537
330	0.3765295759
331	0.3764514116
332	0.3763602656
333	0.3762383243
334	0.3761044768
335	0.3759707807
336	0.3758234559
337	0.3756689483
338	0.3755834596
339	0.3754489998
340	0.3752886317
341	0.3751783952
342	0.3751189327
343	0.3750113588
344	0.3749130079
345	0.3747038622
346	0.3745863755
347	0.3745437967
348	0.3744642679
349	0.3743770275
350	0.3742715377
351	0.3741615287
352	0.3740774588
353	0.3739095681
354	0.3737984479
355	0.3737081217
356	0.3735131847
357	0.3734198246
358	0.3733198885
359	0.3731997246
360	0.3730773627
361	0.372973411
362	0.3729003984
363	0.3728380692
364	0.372737179
365	0.3726214263
366	0.3725022802
367	0.3723445842
368	0.37223779
369	0.3721249278
370	0.3720227419
371	0.3719377145
372	0.3718329326
373	0.3717181469
374	0.3715723594
375	0.3714115015
376	0.3713095226
377	0.3712001445
378	0.3711311088
379	0.3710149423
380	0.3709552042
381	0.370816534
382	0.3706609685
383	0.3705740297
384	0.3704580989
385	0.3702378215
386	0.3700427153
387	0.3699412392
388	0.3697323848
389	0.3696228175
390	0.3695046359
391	0.3694172776
392	0.3693407288
393	0.3692375995
394	0.3690734859
395	0.3689573367
396	0.3688072463
397	0.368736276
398	0.3686234046
399	0.3685222891
400	0.3684439705
401	0.3683788416
402	0.3681760381
403	0.3681111696
404	0.3679951493
405	0.3678574187
406	0.367704755
407	0.3675900405
408	0.3674581426
409	0.3673608274
410	0.3672558136
411	0.367126015
412	0.3670055457
413	0.3669576008
414	0.3668617463
415	0.3668139367
416	0.3667076698
417	0.3666256295
418	0.366510734
419	0.3663514578
420	0.366257041
421	0.3661261911
422	0.3660611917
423	0.3659311083
424	0.3657931593
425	0.3656129432
426	0.3655243128
427	0.3654446246
428	0.3653431007
429	0.365238042
430	0.3650995789
431	0.3649877031
432	0.3649255512
433	0.3648204371
434	0.3646715371
435	0.3645902034
436	0.3644712814
437	0.3644104685
438	0.3643063619
439	0.3642134474
440	0.3641478615
441	0.3640493601
442	0.3639544109
443	0.3638591781
444	0.3637181646
445	0.3635427381
446	0.3634913722
447	0.3634340509
448	0.3633496526
449	0.3632796029
450	0.3631242479
451	0.363052767
452	0.3629081745
453	0.3628029663
454	0.3627330275
455	0.3625925627
456	0.362494363
457	0.362316679
458	0.3622460037
459	0.3621272081
460	0.3620530696
461	0.3619150409
462	0.361760725
463	0.3616623187
464	0.3615889628
465	0.3614916297
466	0.3613389214
467	0.3612484117
468	0.3611305231
469	0.3610393735
470	0.3609464344
471	0.3608077298
472	0.3607297981
473	0.3606730347
474	0.3605692732
475	0.3604469299
476	0.3603526886
477	0.3602743521
478	0.3601846505
479	0.3600509585
480	0.3599681394
481	0.3598353933
482	0.3597743007
483	0.3596934601
484	0.359626216
485	0.359526492
486	0.3594948548
487	0.3593738535
488	0.3592264061
489	0.3591454325
490	0.359056053
491	0.3590019785
492	0.358870869
493	0.3587493559
494	0.3586400292
495	0.3585026965
496	0.3583952058
497	0.3583134214
498	0.3582351682
499	0.3581688668
500	0.3580271171
501	0.3579334411
502	0.3578490522
503	0.3577764628
504	0.3576134101
505	0.3575631169
506	0.3574695446
507	0.3573814867
508	0.3573096703
509	0.3572514183
510	0.3571915186
511	0.3570651958
512	0.3569544897
513	0.3568203619
514	0.3567662313
515	0.356639793
516	0.3565693932
517	0.3564749161
518	0.3563302336
519	0.3562435745
520	0.3561782496
521	0.3560685812
522	0.3559299858
523	0.3558335259
524	0.355721468
525	0.35562175
526	0.3555203233
527	0.3554323645
528	0.3553687037
529	0.3552486047
530	0.3551405126
531	0.35506672
532	0.35493282
533	0.3548667725
534	0.3547993087
535	0.3547348754
536	0.3546835571
537	0.3545791561
538	0.3545074831
539	0.3544366032
540	0.354378255
541	0.3543098052
542	0.3541863993
543	0.3540709612
544	0.3539282657
545	0.3538712221
546	0.3538069598
547	0.3537348757
548	0.3536151234
549	0.3535187514
550	0.3533685243
551	0.3532738653
552	0.3531536824
553	0.3531000918
554	0.3530269183
555	0.3529674408
556	0.3528747852
557	0.3527853614
558	0.3527071604
559	0.3526290319
560	0.3525573431
561	0.3524723277
562	0.3523329219
563	0.3522658485
564	0.3521127923
565	0.3520487475
566	0.3519484369
567	0.3518845683
568	0.3518068756
569	0.3517204011
570	0.3516260225
571	0.3514840512
572	0.3513979559
573	0.3513041951
574	0.3512127287
575	0.3511432876
576	0.3510017243
577	0.3508572087
578	0.3507685
579	0.3506768077
580	0.3506237445
581	0.3505686786
582	0.3505153233
583	0.350372035
584	0.350285589
585	0.3501768422
586	0.3500874473
587	0.3500145896
588	0.3498746461
589	0.3497686134
590	0.3496742202
591	0.3495812185
592	0.3495186326
593	0.3494560493
594	0.349351252
595	0.3492445869
596	0.3491171489
597	0.3490387113
598	0.3488729032
599	0.3487920018
600	0.3487449649
601	0.3486377173
602	0.348592052
603	0.3485157892
604	0.3484608038
605	0.3483735829
