iter	Passed	Remaining
429	1689	2239
430	1693	2236
431	1698	2233
432	1702	2229
433	1706	2225
434	1711	2223
435	1716	2220
436	1721	2217
437	1725	2213
438	1729	2210
439	1734	2207
440	1739	2204
441	1744	2201
442	1749	2199
443	1754	2196
444	1759	2193
445	1762	2189
446	1766	2185
447	1771	2182
448	1775	2178
449	1779	2175
450	1784	2171
451	1788	2167
452	1792	2164
453	1796	2160
454	1800	2156
455	1804	2152
456	1809	2149
457	1813	2146
458	1817	2142
459	1822	2139
460	1826	2135
461	1830	2132
462	1834	2128
463	1839	2124
464	1844	2121
465	1848	2118
466	1852	2114
467	1856	2110
468	1860	2106
469	1865	2103
470	1869	2099
471	1873	2096
472	1877	2092
473	1881	2088
474	1885	2084
475	1889	2080
476	1893	2076
477	1897	2072
478	1901	2068
479	1905	2064
480	1909	2060
481	1913	2056
482	1916	2051
483	1920	2047
484	1925	2044
485	1930	2041
486	1934	2037
487	1937	2033
488	1941	2029
489	1945	2024
490	1949	2020
491	1953	2016
492	1957	2012
493	1960	2008
494	1964	2004
495	1968	1999
496	1972	1996
497	1975	1991
498	1979	1987
499	1983	1983
500	1988	1980
501	1993	1977
502	1997	1973
503	2001	1970
504	2005	1965
505	2009	1961
506	2012	1957
507	2016	1953
508	2020	1948
509	2023	1944
510	2027	1939
511	2030	1935
512	2034	1931
513	2038	1927
514	2041	1922
515	2045	1918
516	2049	1914
517	2052	1909
518	2055	1905
519	2059	1900
520	2063	1896
521	2067	1892
522	2070	1888
523	2074	1884
524	2077	1879
525	2082	1876
526	2085	1871
527	2088	1867
528	2092	1863
529	2096	1858
530	2099	1854
531	2102	1849
532	2106	1845
533	2109	1840
534	2112	1836
535	2116	1831
536	2119	1827
537	2122	1823
538	2126	1818
539	2130	1814
540	2134	1810
541	2137	1806
542	2141	1801
543	2144	1797
544	2147	1793
545	2151	1788
546	2154	1784
547	2158	1780
548	2162	1776
549	2165	1772
550	2169	1767
551	2172	1763
552	2177	1760
553	2181	1756
554	2184	1751
555	2188	1747
556	2192	1743
557	2196	1739
558	2200	1735
559	2203	1731
560	2207	1727
561	2211	1723
562	2215	1719
563	2219	1715
564	2222	1711
565	2226	1707
566	2229	1702
567	2232	1698
568	2236	1694
569	2239	1689
570	2243	1685
571	2246	1681
572	2249	1676
573	2253	1672
574	2257	1668
575	2260	1663
576	2264	1659
577	2267	1655
578	2270	1651
579	2274	1647
580	2278	1643
581	2281	1638
582	2285	1634
583	2289	1630
584	2292	1626
585	2295	1622
586	2299	1617
587	2302	1613
588	2306	1609
589	2309	1605
590	2313	1600
591	2316	1596
592	2320	1592
593	2324	1588
594	2328	1584
595	2331	1580
596	2335	1576
597	2338	1572
598	2342	1567
599	2345	1563
600	2349	1559
601	2352	1555
602	2356	1551
603	2359	1546
604	2362	1542
605	2366	1538
606	2369	1534
607	2373	1530
608	2376	1526
609	2380	1521
610	2384	1518
611	2388	1514
612	2391	1509
613	2395	1505
614	2398	1501
615	2402	1497
616	2406	1493
617	2409	1489
618	2413	1485
619	2417	1481
620	2421	1477
621	2424	1473
622	2428	1469
623	2431	1465
624	2435	1461
625	2439	1457
626	2442	1452
627	2446	1448
628	2450	1445
629	2454	1441
630	2457	1437
631	2461	1433
632	2465	1429
633	2469	1425
634	2472	1421
635	2476	1417
636	2479	1413
637	2484	1409
638	2488	1405
639	2493	1402
640	2497	1398
641	2501	1394
642	2505	1391
643	2509	1387
644	2514	1383
645	2518	1379
646	2521	1375
647	2525	1372
648	2530	1368
649	2534	1364
650	2538	1360
651	2541	1356
652	2545	1352
653	2549	1348
654	2552	1344
655	2556	1340
656	2560	1336
657	2564	1332
658	2568	1328
659	2571	1324
660	2575	1320
661	2579	1317
662	2583	1313
663	2587	1309
664	2591	1305
665	2594	1301
666	2598	1297
667	2602	1293
668	2605	1289
669	2609	1285
670	2612	1281
671	2617	1277
672	2621	1273
673	2626	1270
674	2630	1266
675	2634	1262
676	2638	1258
677	2642	1255
678	2646	1251
679	2650	1247
680	2653	1242
681	2657	1239
682	2662	1235
683	2666	1232
684	2671	1228
685	2675	1224
686	2679	1220
687	2683	1217
688	2687	1213
689	2692	1209
690	2696	1205
691	2700	1201
692	2704	1198
693	2708	1194
694	2712	1190
695	2716	1186
696	2720	1182
697	2724	1178
698	2727	1174
699	2732	1170
700	2735	1166
701	2739	1162
702	2743	1159
703	2747	1155
704	2751	1151
705	2754	1147
706	2758	1143
707	2761	1139
708	2765	1134
709	2769	1131
710	2772	1126
711	2775	1122
712	2778	1118
713	2782	1114
714	2786	1110
715	2790	1106
716	2793	1102
717	2797	1098
718	2801	1094
719	2805	1091
720	2809	1087
721	2813	1083
722	2818	1079
723	2822	1075
724	2825	1071
725	2829	1068
726	2833	1064
727	2837	1060
728	2841	1056
729	2845	1052
730	2849	1048
731	2853	1044
732	2857	1040
733	2861	1036
734	2865	1033
735	2868	1029
736	2872	1025
737	2876	1021
738	2880	1017
739	2884	1013
740	2888	1009
741	2892	1005
742	2896	1001
743	2900	998
744	2904	994
745	2908	990
746	2912	986
747	2916	982
748	2919	978
749	2923	974
750	2927	970
751	2931	966
752	2934	962
753	2938	958
754	2942	954
755	2945	950
756	2949	946
757	2952	942
758	2956	938
759	2960	934
760	2964	930
761	2967	926
762	2971	922
763	2975	919
764	2979	915
765	2983	911
766	2986	907
767	2990	903
768	2994	899
769	2998	895
770	3001	891
771	3005	887
772	3009	883
773	3013	879
774	3017	875
775	3021	872
776	3024	868
777	3028	864
778	3032	860
779	3035	856
780	3039	852
781	3043	848
782	3046	844
783	3049	840
784	3053	836
785	3056	832
786	3059	828
787	3062	824
788	3066	819
789	3070	816
790	3073	812
791	3076	808
792	3080	804
793	3084	800
794	3087	796
795	3091	792
796	3094	788
797	3098	784
798	3102	780
799	3106	776
800	3110	772
801	3114	768
802	3117	764
803	3121	760
804	3125	757
805	3129	753
806	3132	749
807	3136	745
808	3140	741
809	3144	737
810	3148	733
811	3151	729
812	3155	725
813	3159	721
814	3163	718
815	3167	714
816	3171	710
817	3174	706
818	3178	702
819	3182	698
820	3186	694
821	3190	690
822	3193	686
823	3197	682
824	3201	679
825	3205	675
826	3209	671
827	3212	667
828	3216	663
829	3220	659
830	3224	655
831	3228	651
832	3232	648
833	3236	644
834	3240	640
835	3244	636
836	3248	632
837	3252	628
838	3256	624
839	3260	620
840	3264	617
841	3267	613
842	3271	609
843	3275	605
844	3278	601
845	3282	597
846	3286	593
847	3290	589
848	3294	585
849	3299	582
850	3302	578
851	3306	574
852	3310	570
853	3314	566
854	3318	562
855	3321	558
856	3325	554
857	3329	551
858	3332	547
859	3336	543
860	3339	539
861	3343	535
862	3346	531
863	3349	527
864	3353	523
865	3356	519
866	3361	515
867	3364	511
868	3368	507
869	3371	503
870	3375	499
871	3379	496
872	3383	492
873	3387	488
874	3391	484
875	3394	480
876	3398	476
877	3401	472
878	3405	468
879	3409	464
880	3413	461
881	3417	457
882	3421	453
883	3425	449
884	3428	445
885	3432	441
886	3436	437
887	3440	433
888	3444	430
889	3447	426
890	3451	422
891	3455	418
892	3458	414
893	3462	410
894	3465	406
895	3469	402
896	3473	398
897	3477	394
898	3480	391
899	3484	387
900	3489	383
901	3492	379
902	3496	375
903	3499	371
904	3503	367
